Burial,Poynor,Patton,Hume-Eng,H-L-Eff,Kill-Pin,Bull-Brus,Plain
AN21-E-Owens-1Bur,0,1,0,0,0,0,0
CE6-Hackney-2Bur,1,4,0,1,0,1,0
CE12-Allen-18Bur,7,18,9,4,1,4,1
AN13-Jowell-Pur,6,5,0,0,0,2,0
AN26-Patton-Pur,7,17,1,0,0,0,2
